RATING,TITLE,AUTHOR
,On the Road,Jack Kerouac
,Sword of Destiny (The Witcher #2),Andrzej Sapkowski
,Building Stories,Chris Ware
,Lunar Park,Brett Easton Ellis
,Real Life,Brendon Taylor
,How to Be Alone,Jonathan Franzen
,Watchmen,Alan Moore
,The Epic of Gilgamesh,Anonymous (trans. Sandars)
,Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk
,A Scanner Darkly,Philip K. Dick
